xmin	xmax	clickSelects	PANEL	group
1	500	1	1	-1
501	1000	2	1	-1
1001	1500	3	1	-1
1501	2000	4	1	-1
2001	2500	5	1	-1
2501	3000	6	1	-1
3001	3500	7	1	-1
3501	4000	8	1	-1
4001	4500	9	1	-1
4501	5000	10	1	-1
5001	5500	11	1	-1
5501	6000	12	1	-1
6001	6500	13	1	-1
6501	7000	14	1	-1
7001	7500	15	1	-1
7501	8000	16	1	-1
8001	8500	17	1	-1
8501	9000	18	1	-1
9001	9500	19	1	-1
9501	10000	20	1	-1
10001	10500	21	1	-1
10501	11000	22	1	-1
11001	11500	23	1	-1
11501	12000	24	1	-1
12001	12500	25	1	-1
12501	13000	26	1	-1
13001	13500	27	1	-1
13501	14000	28	1	-1
14001	14500	29	1	-1
14501	15000	30	1	-1
15001	15500	31	1	-1
15501	16000	32	1	-1
16001	16500	33	1	-1
16501	17000	34	1	-1
17001	17500	35	1	-1
17501	18000	36	1	-1
18001	18500	37	1	-1
18501	19000	38	1	-1
19001	19500	39	1	-1
19501	20000	40	1	-1
20001	20500	41	1	-1
20501	21000	42	1	-1
21001	21500	43	1	-1
21501	22000	44	1	-1
22001	22500	45	1	-1
22501	23000	46	1	-1
23001	23500	47	1	-1
23501	24000	48	1	-1
24001	24500	49	1	-1
24501	25000	50	1	-1
25001	25500	51	1	-1
25501	26000	52	1	-1
26001	26500	53	1	-1
26501	27000	54	1	-1
27001	27500	55	1	-1
27501	28000	56	1	-1
28001	28500	57	1	-1
28501	29000	58	1	-1
29001	29500	59	1	-1
29501	30000	60	1	-1
30001	30500	61	1	-1
30501	31000	62	1	-1
31001	31500	63	1	-1
31501	32000	64	1	-1
32001	32500	65	1	-1
32501	33000	66	1	-1
33001	33500	67	1	-1
33501	34000	68	1	-1
34001	34500	69	1	-1
34501	35000	70	1	-1
35001	35500	71	1	-1
35501	36000	72	1	-1
36001	36500	73	1	-1
36501	37000	74	1	-1
37001	37500	75	1	-1
37501	38000	76	1	-1
38001	38500	77	1	-1
38501	39000	78	1	-1
39001	39500	79	1	-1
39501	40000	80	1	-1
40001	40500	81	1	-1
40501	41000	82	1	-1
41001	41500	83	1	-1
41501	42000	84	1	-1
42001	42500	85	1	-1
42501	43000	86	1	-1
43001	43500	87	1	-1
43501	44000	88	1	-1
44001	44500	89	1	-1
44501	45000	90	1	-1
45001	45500	91	1	-1
45501	46000	92	1	-1
46001	46500	93	1	-1
46501	47000	94	1	-1
47001	47500	95	1	-1
47501	48000	96	1	-1
48001	48500	97	1	-1
48501	49000	98	1	-1
49001	49500	99	1	-1
49501	50000	100	1	-1
50001	50500	101	1	-1
50501	51000	102	1	-1
51001	51500	103	1	-1
51501	52000	104	1	-1
52001	52500	105	1	-1
52501	53000	106	1	-1
53001	53500	107	1	-1
53501	54000	108	1	-1
54001	54500	109	1	-1
54501	55000	110	1	-1
55001	55500	111	1	-1
55501	56000	112	1	-1
56001	56500	113	1	-1
56501	57000	114	1	-1
57001	57500	115	1	-1
57501	58000	116	1	-1
58001	58500	117	1	-1
58501	59000	118	1	-1
59001	59500	119	1	-1
59501	60000	120	1	-1
60001	60500	121	1	-1
60501	61000	122	1	-1
61001	61500	123	1	-1
61501	62000	124	1	-1
62001	62500	125	1	-1
62501	63000	126	1	-1
63001	63500	127	1	-1
63501	64000	128	1	-1
64001	64500	129	1	-1
64501	65000	130	1	-1
65001	65500	131	1	-1
65501	66000	132	1	-1
66001	66500	133	1	-1
66501	67000	134	1	-1
67001	67500	135	1	-1
67501	68000	136	1	-1
68001	68500	137	1	-1
68501	69000	138	1	-1
69001	69500	139	1	-1
69501	70000	140	1	-1
